D11.FPP D11.P_FPP D30.DA D30.Epen1 D30.FPP D30.Sert D52.Astro.ROT_treated D52.Astro.untreated D52.DA.ROT_treated D52.DA.untreated D52.Epen1.ROT_treated D52.Epen1.untreated D52.pseudobulk.untreated D52.Sert.ROT_treated D52.Sert.untreated
0hr_GABA 0.409979243177936 0.383685397090004 0.528783983167283 0.472194937099708 0.492097225707235 0.511390624327452 0.449240922106152 0.450293190349382 0.522847610606308 0.554687261141848 0.45541366895871 0.449717516905769 0.473627388985869 0.478236897821097 0.500277256625041
0hr_nmglut 0.380849367168636 0.369455157395638 0.479924036491916 0.430929682876902 0.449108770645136 0.461612978916773 0.424277256278611 0.414420103471902 0.473446344984738 0.524334662533479 0.41962939358616 0.414108868466427 0.443491474909213 0.428825103073134 0.45614161615411
0hr_npglut 0.444259215011167 0.41676348396755 0.553651659756169 0.481731583514142 0.509186137877699 0.50693809938867 0.4657677653811 0.467354919311658 0.549717031432396 0.592556941537089 0.475955614537414 0.469857423399214 0.504898049005229 0.483278580644637 0.498504041458518
1hr_GABA 0.447744433306738 0.414279367177496 0.561654680493072 0.501833709330943 0.523833113802066 0.545505035900788 0.477515049586247 0.479827888949906 0.545156888244956 0.58714230995887 0.487770208493711 0.485238295173804 0.524979412282311 0.512303481736384 0.536682932986035
1hr_nmglut 0.401305530757676 0.392865175031295 0.529106740768355 0.451847415761652 0.466141921355532 0.470250285033691 0.425262350719377 0.435116513924724 0.509267838864505 0.553055693096702 0.432021701214842 0.441124540160869 0.462643864943244 0.445278997128885 0.466007002225705
1hr_npglut 0.458770414327222 0.434595814828499 0.566197637778726 0.492323008955423 0.530686158772771 0.539998597034542 0.465427241904002 0.479337749749764 0.558231279497646 0.600492814596416 0.480724822292947 0.483556376106397 0.529109096696811 0.507910237341321 0.522650859359071
6hr_GABA 0.465695037047641 0.436991429721476 0.551422836580564 0.500502445679636 0.527499524483827 0.545185633654623 0.489362307940994 0.479365914538224 0.547709628982922 0.585077705751593 0.48775226452156 0.48496713250037 0.526170110339993 0.530574376530789 0.53410054183752
6hr_nmglut 0.436008710198535 0.406636690212335 0.522123562774497 0.465510178916508 0.489672389533026 0.501506511200474 0.465866468798308 0.459105439723842 0.519745515177426 0.558452702346785 0.452145324880409 0.453142689454081 0.491165235721481 0.477957701541778 0.49481649960477
6hr_npglut 0.455883485550535 0.430987944330734 0.550231397187006 0.47776847274943 0.510061585774814 0.516641954300389 0.483243375930541 0.464160499073556 0.556121590586569 0.588815546928856 0.475269097453618 0.466090341204226 0.514742090262171 0.505314799028878 0.506847421819155
