0hr_GABA 0hr_nmglut 0hr_npglut 1hr_GABA 1hr_nmglut 1hr_npglut 6hr_GABA 6hr_nmglut 6hr_npglut
0hr_GABA 0 0.0110843610726339 0.00896495952707772 0.00897967024659562 0.0115130152930443 0.0111681744109517 0.010927012794022 0.0142652676560769 0.0116574081514648
0hr_nmglut 0.0110843610726339 0 0.0112225197034844 0.0132125182540234 0.0132066572257493 0.0119981265422357 0.0144031606407959 0.0161303667166872 0.0129880009205273
0hr_npglut 0.00896495952707772 0.0112225197034844 0 0.0102988760183044 0.00993469304392698 0.00775898987811252 0.0118892966568584 0.0130378214164384 0.00899838048661339
1hr_GABA 0.00897967024659562 0.0132125182540234 0.0102988760183044 0 0.0121284857586459 0.00936497706625166 0.0102735883772748 0.0131654053536794 0.0111421868153638
1hr_nmglut 0.0115130152930443 0.0132066572257493 0.00993469304392698 0.0121284857586459 0 0.00988939179544566 0.0140949709911397 0.0130218502843163 0.0121044191289856
1hr_npglut 0.0111681744109517 0.0119981265422357 0.00775898987811252 0.00936497706625166 0.00988939179544566 0 0.0113673858121809 0.0122280233936611 0.00734292424217565
6hr_GABA 0.010927012794022 0.0144031606407959 0.0118892966568584 0.0102735883772748 0.0140949709911397 0.0113673858121809 0 0.0138454434196595 0.0104206303449677
6hr_nmglut 0.0142652676560769 0.0161303667166872 0.0130378214164384 0.0131654053536794 0.0130218502843163 0.0122280233936611 0.0138454434196595 0 0.0110728867758614
6hr_npglut 0.0116574081514648 0.0129880009205273 0.00899838048661339 0.0111421868153638 0.0121044191289856 0.00734292424217565 0.0104206303449677 0.0110728867758614 0
