0hr_GABA 0hr_nmglut 0hr_npglut 1hr_GABA 1hr_nmglut 1hr_npglut 6hr_GABA 6hr_nmglut 6hr_npglut
0hr_GABA 1 0.928593545514696 0.925749449201938 0.940657930053602 0.914087201794672 0.879745192491245 0.898390157694502 0.850746784941345 0.860123602632179
0hr_nmglut 0.928593545514696 1 0.933628603805298 0.878780260414461 0.937059642616639 0.899522922796881 0.853820423599468 0.861938402969689 0.871305186639468
0hr_npglut 0.925749449201938 0.933628603805298 1 0.892199033282966 0.934141546958143 0.947394365480922 0.863245192027799 0.875764274821953 0.913445963758704
1hr_GABA 0.940657930053602 0.878780260414461 0.892199033282966 1 0.89714885550234 0.909877928922736 0.909089990112048 0.865837239911828 0.871566591636467
1hr_nmglut 0.914087201794672 0.937059642616639 0.934141546958143 0.89714885550234 1 0.928189431293778 0.855372150107174 0.921621287970114 0.891664200464023
1hr_npglut 0.879745192491245 0.899522922796881 0.947394365480922 0.909877928922736 0.928189431293778 1 0.870451933009365 0.891005487486881 0.939586783898209
6hr_GABA 0.898390157694502 0.853820423599468 0.863245192027799 0.909089990112048 0.855372150107174 0.870451933009365 1 0.884220887313987 0.894769016347368
6hr_nmglut 0.850746784941345 0.861938402969689 0.875764274821953 0.865837239911828 0.921621287970114 0.891005487486881 0.884220887313987 1 0.918736277476358
6hr_npglut 0.860123602632179 0.871305186639468 0.913445963758704 0.871566591636467 0.891664200464023 0.939586783898209 0.894769016347368 0.918736277476358 1
