Amygdala Anterior_cingulate_cortex_BA24 Caudate_basal_ganglia Cerebellar_Hemisphere Cerebellum Cortex Frontal_Cortex_BA9 Hippocampus Hypothalamus Nucleus_accumbens_basal_ganglia Putamen_basal_ganglia Spinal_cord_cervical_c-1 Substantia_nigra
0hr_GABA 0.231322413104275 0.31162604874151 0.457850579304834 0.527766679984019 0.575309628445865 0.47263284059129 0.402317219336796 0.33359968038354 0.324410707151418 0.444666400319616 0.396723931282461 0.274470635237715 0.217339192968438
0hr_nmglut 0.254559270516717 0.345744680851064 0.480243161094225 0.548632218844985 0.601063829787234 0.512917933130699 0.437689969604863 0.364741641337386 0.348784194528875 0.461246200607903 0.4209726443769 0.312310030395137 0.241641337386018
0hr_npglut 0.212452050752434 0.30628503983476 0.432871053408085 0.510770138683978 0.573915609324284 0.465033933313662 0.396577161404544 0.311301268810859 0.301563883151372 0.424904101504869 0.378282679256418 0.262909412806137 0.194747713189731
1hr_GABA 0.212221853204915 0.301560943208236 0.429093324476918 0.514447027565593 0.552308203254733 0.442045831949518 0.379275988043839 0.308535370308867 0.299236134174693 0.416140817004317 0.374626369976752 0.258053802723348 0.200929923613417
1hr_nmglut 0.234133333333333 0.3328 0.466133333333333 0.530133333333333 0.594666666666667 0.500266666666667 0.419733333333333 0.348266666666667 0.318933333333333 0.457066666666667 0.396266666666667 0.309333333333333 0.234666666666667
1hr_npglut 0.207171314741036 0.295069721115538 0.421314741035857 0.5 0.550049800796813 0.456673306772908 0.382719123505976 0.307768924302789 0.296812749003984 0.412599601593626 0.374750996015936 0.260956175298805 0.19347609561753
6hr_GABA 0.204601990049751 0.296641791044776 0.426305970149254 0.504042288557214 0.556281094527363 0.453980099502488 0.381218905472637 0.309390547263682 0.287002487562189 0.405161691542289 0.381840796019901 0.260883084577114 0.197139303482587
6hr_nmglut 0.234613040828763 0.319317489335771 0.458257160268129 0.538695917123705 0.608165752589884 0.494820231566118 0.422303473491773 0.349786715417428 0.331505179768434 0.451553930530165 0.402803168799513 0.294942108470445 0.235222425350396
6hr_npglut 0.204230488694384 0.289812788718697 0.428397763189886 0.49963530269876 0.555069292487236 0.445903233649404 0.37782640408461 0.297349866277656 0.286408947240457 0.411135424264527 0.366156090444931 0.24872355944566 0.186238755166545
