Astrocytes Endothelial.cells Excitatory.neurons Inhibitory.neurons Microglia Oligodendrocytes OPCs...COPs pb Pericytes
0hr_GABA 0.657738979253372 0.451229320294045 0.784646253177405 0.716441307735631 0.652275873782431 0.762602152012375 0.534325823562613 0.769682522534287 0.454623902723025
0hr_nmglut 0.657450225066493 0.506679019848703 0.84906996061824 0.775978154395015 0.625767115798845 0.772902786216823 0.591689247442218 0.855221649663968 0.489174751894655
0hr_npglut 0.564421599538312 0.444811680852496 0.708942320461676 0.570626328707231 0.562803886299715 0.640019443302368 0.539623465020545 0.708110369974144 0.300280346660024
1hr_GABA 0.568885734449684 0.471478683468304 0.748780217130368 0.638453264915977 0.579929968169138 0.734597471862356 0.597297228653816 0.728337652208105 0.259863535440997
1hr_nmglut 0.660528247313494 0.445375279343109 0.782283487332585 0.647711494574812 0.656574636910671 0.733549585964948 0.609055710886948 0.784488075268235 0.525877147545046
1hr_npglut 0.514313097760965 0.408735631048914 0.678129265434688 0.538036422327049 0.530200788960593 0.654140009253809 0.560403914295288 0.70869409618146 0.345975362674086
6hr_GABA 0.559861991657021 0.383031603963 0.732634117462292 0.54263368165197 0.513627579628274 0.593302185916458 0.578088849636621 0.608446421072617 0.274041748253456
6hr_nmglut 0.674217398894884 0.487186465574804 0.734475117961298 0.522878361324945 0.589495359116109 0.654607210875533 0.578502917114322 0.794531467696977 0.350639486808832
6hr_npglut 0.517413154551941 0.35909079216335 0.656564891876668 0.536606369587266 0.466258230282954 0.611547791728244 0.501757093335836 0.638184864934807 0.206230084739377
