tri1 tri2 all
0hr_GABA 0.172108327005821 0.207299953205428 0.169685039370079
0hr_nmglut 0.0999746899519109 0.129153018249883 0.103543307086614
0hr_npglut 0.207036193368767 0.247075339260646 0.217913385826772
1hr_GABA 0.180460642875221 0.227421619092185 0.19251968503937
1hr_nmglut 0.131612250063275 0.176415535797847 0.134645669291339
1hr_npglut 0.231840040496077 0.26485727655592 0.241929133858268
6hr_GABA 0.190584662110858 0.230229293401965 0.200196850393701
6hr_nmglut 0.119716527461402 0.146934955545157 0.121653543307087
6hr_npglut 0.236395849152113 0.27328029948526 0.246850393700787
