Astrocytes Endothelial.cells Excitatory.neurons Inhibitory.neurons Microglia Oligodendrocytes OPCs...COPs pb Pericytes
0hr_GABA 0.67962830564046 0.755988443358556 0.741363798837844 0.839173745236943 0.645361019911173 0.690437674285949 0.73892998605451 0.753799951489058 0.831601644231545
0hr_nmglut 0.658423655331349 0.767636669616224 0.753729075959349 0.865303303572152 0.688606115236011 0.657876821715484 0.725480259302922 0.75812958097654 0.880194875124829
0hr_npglut 0.616322988445825 0.719924347118943 0.752250650054192 0.87224892201685 0.601328756386298 0.660244142079362 0.69161209717164 0.745568890957202 0.818847740326505
1hr_GABA 0.635797410572149 0.746809315627578 0.682428703885246 0.771358953486638 0.633268472799421 0.648953686646591 0.692330121224416 0.707843956102411 0.786764101545621
1hr_nmglut 0.645154408126979 0.7704422109378 0.751312055356788 0.86705901093196 0.642661573856622 0.664453340103294 0.73122991478455 0.754400475700609 0.908363657810817
1hr_npglut 0.61830534338516 0.73176242174017 0.74393361201481 0.851526503623331 0.620448207637458 0.652183538787018 0.68098319645099 0.744263059805923 0.860779238127125
6hr_GABA 0.625123685340267 0.709835978456005 0.700818847608073 0.789151907218156 0.629672856587887 0.639745580274606 0.684232792860096 0.710436811028003 0.723372119998154
6hr_nmglut 0.673154242470446 0.789122063873622 0.757289413639261 0.862664083952949 0.662725512388158 0.684764945091012 0.743614336823867 0.765934646331909 0.842894842439824
6hr_npglut 0.644155128071118 0.763941701156681 0.749715606286363 0.854430469795644 0.639786656273583 0.672558602013886 0.708406054850251 0.756404437364266 0.816912801787997
