,GeneName,ExcL23,ExcL4,ExcL5_3,ExcL5_2,ExcL5_1,ExcL6,logFC.1,ortholog_name,eqtl_in_0hr_GABA,eqtl_in_0hr_nmglut,eqtl_in_0hr_npglut,eqtl_in_1hr_GABA,eqtl_in_1hr_nmglut,eqtl_in_1hr_npglut,eqtl_in_6hr_GABA,eqtl_in_6hr_nmglut,eqtl_in_6hr_npglut
81,Phf21b,c,a,c,,a,,Both,PHF21B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Phlda1,a,,,,,,ERG,PHLDA1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Pim1,c,a,,,,,Both,PIM1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
84,Pim3,a,,,,a,,ERG,PIM3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
85,Ppme1,c,,,,,,LRG,PPME1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,Prkg2,,c,,,,,LRG,PRKG2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
88,R3hdm1,c,,,,,,LRG,R3HDM1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
89,Rcan2,,,,,,c,LRG,RCAN2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
91,Rnd3,,c,,,,,LRG,RND3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95,Sgk1,,,,,a,,ERG,SGK1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
96,Sgsm1,c,c,c,c,,c,LRG,SGSM1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
99,Stk40,a,a,,,a,a,ERG,STK40,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,Tfrc,a,,,,,,ERG,TFRC,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
101,Tiparp,a,a,,a,a,a,ERG,TIPARP,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
103,Tpbg,,,,,,c,LRG,TPBG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
105,Trib1,,,,a,,,ERG,TRIB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
106,Tsnax,c,,,,,,LRG,TSNAX,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
107,Vgf,c,c,c,,,c,LRG,VGF,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
108,Zdbf2,a,a,,c,a,a,Both,ZDBF2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
