tri1 tri2 all
0hr_GABA 0.271673991210547 0.176987614862165 0.3443867359169
0hr_nmglut 0.300151975683891 0.209726443768997 0.399696048632219
0hr_npglut 0.241369135438182 0.155798170551785 0.326645028031868
1hr_GABA 0.236798405845234 0.161408170043175 0.324809033543673
1hr_nmglut 0.277333333333333 0.201066666666667 0.3648
1hr_npglut 0.22808764940239 0.14093625498008 0.306025896414343
6hr_GABA 0.234141791044776 0.152985074626866 0.316231343283582
6hr_nmglut 0.28823887873248 0.191346739792809 0.376599634369287
6hr_npglut 0.227084852905422 0.141988815949429 0.304886943836616
