0hr_GABA 0hr_nmglut 0hr_npglut 1hr_GABA 1hr_nmglut 1hr_npglut 6hr_GABA 6hr_nmglut 6hr_npglut
0hr_GABA 1 0.91120690419863 0.915419039121005 0.917242656811911 0.883301037355149 0.868028813693764 0.886750534752741 0.818764294302753 0.854061143674614
0hr_nmglut 0.91120690419863 1 0.910539909764006 0.861847690753316 0.911946971092433 0.888131140633099 0.839365429019427 0.849983300237013 0.864136772190379
0hr_npglut 0.915419039121005 0.910539909764006 1 0.856582546442128 0.892437911091331 0.923648892791742 0.841799317092463 0.848311710678342 0.905323007547014
1hr_GABA 0.917242656811911 0.861847690753316 0.856582546442128 1 0.876891349921804 0.908685110669146 0.910284262760278 0.852769771548607 0.870856820503671
1hr_nmglut 0.883301037355149 0.911946971092433 0.892437911091331 0.876891349921804 1 0.926443216989033 0.852466781194417 0.901201160196379 0.890296576589695
1hr_npglut 0.868028813693764 0.888131140633099 0.923648892791742 0.908685110669146 0.926443216989033 1 0.859172805874778 0.873064545824819 0.931573400752165
6hr_GABA 0.886750534752741 0.839365429019427 0.841799317092463 0.910284262760278 0.852466781194417 0.859172805874778 1 0.888908050129184 0.89826356421163
6hr_nmglut 0.818764294302753 0.849983300237013 0.848311710678342 0.852769771548607 0.901201160196379 0.873064545824819 0.888908050129184 1 0.936050430095549
6hr_npglut 0.854061143674614 0.864136772190379 0.905323007547014 0.870856820503671 0.890296576589695 0.931573400752165 0.89826356421163 0.936050430095549 1
