D11.FPP D11.P_FPP D30.DA D30.Epen1 D30.FPP D30.Sert D52.Astro.ROT_treated D52.Astro.untreated D52.DA.ROT_treated D52.DA.untreated D52.Epen1.ROT_treated D52.Epen1.untreated D52.Sert.ROT_treated D52.Sert.untreated D52.pseudobulk.untreated
0hr_GABA 0.0266518781188589 0.0284094274636155 0.0286854903214155 0.0249197786483991 0.026440199756407 0.026522139716778 0.0271403411605702 0.0269913145049082 0.025948823263513 0.0250539366856472 0.025163831463135 0.025298691965571 0.0252079283843565 0.025253363699129 0.0276294755842283
0hr_nmglut 0.0295481470539609 0.0300390022617656 0.0309966296286613 0.0277395122638953 0.0291819856850228 0.0290856498322078 0.0287870340626498 0.0295818910469721 0.0290689460369806 0.0275849725746461 0.0280432834308534 0.0286382088921857 0.0278471687037257 0.0277526481951607 0.0298886262069636
0hr_npglut 0.0261801123822806 0.0279192322706841 0.0275988356402831 0.0251472854658959 0.02567966492628 0.0259438033599353 0.0268594866049984 0.0263003916516656 0.0249030740221879 0.0238269485369906 0.0249448122757299 0.0254288166689773 0.0248047869548846 0.0249897525586591 0.0265152967425587
1hr_GABA 0.0253833711213166 0.0269178071827173 0.0262010584636265 0.0245585433419199 0.025199908339831 0.0246997375444216 0.0261504561370503 0.0256579515061803 0.0244397745248942 0.0226887121364936 0.0241259890687141 0.0242063313623348 0.0237383239740516 0.0236899876763539 0.0252595349074477
1hr_nmglut 0.0294292632895573 0.0302219890063663 0.0294916240065883 0.0272253654465574 0.0286435327237976 0.0296827155426988 0.0289571737228111 0.0291580206515608 0.0271423273512868 0.0261739405937532 0.0275188385126064 0.0276411955234937 0.0268694645144968 0.0276627971549536 0.0292421975027339
1hr_npglut 0.0259191488961269 0.0270936821261561 0.0270710606375773 0.0257445696044044 0.0253385140699979 0.0259036482668655 0.0271220833241654 0.0263418949009556 0.0243154708036918 0.0228085782267936 0.0251114079412851 0.025776333893341 0.0249936138218432 0.0249793271080411 0.0267849500915481
6hr_GABA 0.026625307017972 0.0275762387100503 0.0282686192241098 0.0253446924347694 0.0262287570007145 0.0273621952062419 0.027810666233679 0.0271238187511349 0.0254937819524429 0.0244215082793521 0.0249375212729476 0.0256138877432639 0.024908625276029 0.0249715392901164 0.0283368522273735
6hr_nmglut 0.0312393499511014 0.0312566322219917 0.03239572827341 0.0294565674227374 0.0309045548142088 0.0320186836869532 0.0325886309642307 0.032481025834152 0.0291759777283009 0.0276247007089536 0.0301361469755229 0.0305099900693151 0.0290244416902627 0.029085697045881 0.0330896602825246
6hr_npglut 0.026627231734503 0.0279962856790505 0.028139548958581 0.0260558091568037 0.0266498554184292 0.0270852082258771 0.0272001999096966 0.0274480145844735 0.0248721635006717 0.0241367279074712 0.0256211845168793 0.0266247924575876 0.0250769408566773 0.0257889770745639 0.0291480228164882
