"afr" "amr" "eur" "mixed" "T1" "T2"
"0hr_GABA" 0.756643046197169 0.782905917006928 0.749040482296226 0.733865209546187 0.723877248192514 0.744587105092488
"0hr_nmglut" 0.746977537307304 0.734498044067523 0.720362673121334 0.707093600489032 0.697658868210828 0.702885950932709
"0hr_npglut" 0.749703186860966 0.756299306262978 0.736875877812906 0.719503175385569 0.70916780651675 0.734982970867157
"1hr_GABA" 0.747774658335387 0.757265282456615 0.731877563447455 0.715410384744295 0.709391978192782 0.72424244978701
"1hr_nmglut" 0.763316324700289 0.764048540260204 0.737281497098312 0.717818076130163 0.712206536477395 0.729268484915078
"1hr_npglut" 0.769736107237797 0.769721841497248 0.736256460146222 0.72346039459403 0.714675686163047 0.732727253404973
"6hr_GABA" 0.736216448346789 0.744325641593409 0.702473901166242 0.695365422119736 0.676896387280398 0.70406104977563
"6hr_nmglut" 0.705980556807148 0.710443555418237 0.68945055012095 0.668795670207049 0.663672340044659 0.690353944088063
"6hr_npglut" 0.725506021978996 0.732316705945865 0.708285103967399 0.687720247424847 0.68496880539728 0.709534313155292
